year,label,name,n
43800,December-19,Andalucia,91298
43891,March-20,Andalucia,18071
43983,June-20,Andalucia,25936
44075,September-20,Andalucia,43806
44166,December-20,Andalucia,57435
44256,March-21,Andalucia,13153
44348,June-21,Andalucia,29541
44440,September-21,Andalucia,49288
44531,December-21,Andalucia,68916
44621,March-22,Andalucia,20242
43800,December-19,Catalunnia,192053
43891,March-20,Catalunnia,3491
43983,June-20,Catalunnia,5704
44075,September-20,Catalunnia,86559
44166,December-20,Catalunnia,110685
44256,March-21,Catalunnia,22363
44348,June-21,Catalunnia,50053
44440,September-21,Catalunnia,83899
44531,December-21,Catalunnia,118746
44621,March-22,Catalunnia,34391
43800,December-19,Comunidad Valenciana,68122
43891,March-20,Comunidad Valenciana,12676
43983,June-20,Comunidad Valenciana,17606
44075,September-20,Comunidad Valenciana,31739
44166,December-20,Comunidad Valenciana,43801
44256,March-21,Comunidad Valenciana,10113
44348,June-21,Comunidad Valenciana,23868
44440,September-21,Comunidad Valenciana,42044
44531,December-21,Comunidad Valenciana,57738
44621,March-22,Comunidad Valenciana,15585
43800,December-19,Madrid,154169
43891,March-20,Madrid,34364
43983,June-20,Madrid,44596
44075,September-20,Madrid,67722
44166,December-20,Madrid,92213
44256,March-21,Madrid,24453
44348,June-21,Madrid,5027
44440,September-21,Madrid,75929
44531,December-21,Madrid,108778
44621,March-22,Madrid,34079
